jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;erststimmegueltig;zweitstimmegueltig;cdu1;cdu2;csu1;csu2;spd1;spd2;fdp1;fdp2;gru1;gru2;pds1;pds2
1990;184;Calw;8;0;184038;139778;137689;137924;74130;69667;0;0;38046;34494;9951;17260;7073;6035;0;186
1990;185;Freiburg;8;0;222270;173167;170776;171026;69846;65179;0;0;60335;57743;9688;20111;19455;18008;0;1210
1990;186;Lörrach – Müllheim;8;0;201480;149570;146813;147429;69378;65116;0;0;49095;48270;11494;17491;10530;8550;0;351
1990;187;Emmendingen – Lahr;8;0;200990;151308;148012;148699;75199;71744;0;0;47614;46539;9563;15452;9213;7857;0;294
1990;188;Offenburg;8;0;186367;140993;138658;138509;89180;75890;0;0;35616;37931;3747;11865;6089;6409;0;205
1990;189;Rottweil – Tuttlingen;8;0;185914;142840;139117;139825;74002;74887;0;0;36348;33899;12433;15271;6047;5084;0;175
1990;190;Schwarzwald-Baar;8;0;147031;109917;108038;108311;57867;53905;0;0;28501;28999;8372;13394;6801;5197;0;187
1990;191;Konstanz;8;0;181169;135828;132978;133806;71190;62667;0;0;34750;37652;9260;17070;12398;8920;0;444
1990;192;Waldshut;8;0;138657;101960;100086;100370;56405;52273;0;0;25383;25842;7351;11407;6761;5455;0;141
1990;193;Reutlingen;8;0;184921;145524;142804;143203;61214;66816;0;0;33489;38457;18325;19409;7836;8274;0;363
1990;194;Tübingen;8;0;164879;130540;128345;129003;54580;53172;0;0;50121;39303;7791;15851;8388;11694;0;889
1990;195;Ulm;8;0;199795;157531;154863;155454;79429;75755;0;0;41917;41628;13159;18573;10693;8003;0;362
1990;196;Biberach;8;0;208112;161206;157704;158539;97961;92964;0;0;26871;28734;8416;14443;11358;8104;0;214
1990;197;Ravensburg – Bodensee;8;0;227238;176027;173271;173682;91676;89277;0;0;40700;39674;12585;20600;11627;10133;0;367
1990;198;Zollernalb – Sigmaringen;8;0;188019;142057;139611;139709;83242;77578;0;0;33412;30569;7476;15055;6696;5899;0;169
1990;199;Altötting;9;0;227864;171554;168825;170151;0;0;95961;95967;39858;36830;11395;14354;9495;7866;0;238
1990;200;Freising;9;0;235460;173529;170038;172121;0;0;99485;94929;36499;38046;10171;14027;13896;9101;0;271
1990;201;Fürstenfeldbruck;9;0;219321;170241;168441;169290;0;0;89561;84785;42021;41168;11705;19449;9096;8484;0;325
1990;202;Ingolstadt;9;0;213220;159686;158070;157982;0;0;98879;92561;37496;38754;5739;9281;6548;5406;0;197
1990;203;München-Mitte;9;0;133596;94896;94026;94484;0;0;31504;31044;35815;33445;8710;11613;10692;10825;0;983
1990;204;München-Nord;9;0;182767;129265;128044;128513;0;0;49755;47991;47626;44523;9621;15056;10008;9164;0;666
1990;205;München-Ost;9;0;203034;147837;146651;147131;0;0;57919;57709;47897;46966;13680;19126;12834;10389;0;768
1990;206;München-Süd;9;0;188257;139785;138451;139220;0;0;53422;55093;45668;43995;16438;18960;11085;9295;0;641
1990;207;München-West;9;0;168193;125630;124553;125051;0;0;55176;50375;40338;39285;9030;15606;9190;8792;0;618
1990;208;München-Land;9;0;199558;159514;158259;158770;0;0;75068;70508;52869;43263;15545;24783;6792;9253;0;375
1990;209;Rosenheim;9;0;194203;142915;140845;141826;0;0;79498;76842;28479;28731;8182;11958;7846;6501;0;199
1990;210;Starnberg;9;0;232955;179499;177781;178336;0;0;100353;94439;37075;37026;16420;23192;10850;9224;0;303
1990;211;Traunstein;9;0;189133;141794;139972;140555;0;0;80372;78225;27943;29452;6415;10969;12342;7182;0;146
1990;212;Weilheim;9;0;217431;161582;159678;160525;0;0;98701;93001;30488;32235;8965;13831;7929;6969;0;215
1990;213;Deggendorf;9;0;141956;92846;91547;91973;0;0;56420;54982;22964;21520;2435;4510;2889;2526;0;69
1990;214;Landshut;9;0;210755;152368;149850;150689;0;0;83264;82782;34014;35923;11054;10477;7633;6081;0;211
1990;215;Passau;9;0;169216;115628;114133;114416;0;0;64751;64163;27122;28859;7329;7363;4027;3836;0;105
1990;216;Rottal-Inn;9;0;144375;99023;97398;97827;0;0;58710;58864;21911;21263;4152;5069;4011;3324;0;88
1990;217;Straubing;9;0;160016;109064;107607;107848;0;0;68469;63951;24130;24428;2936;5666;2868;2552;0;116
1990;218;Amberg;9;0;193968;145813;143361;144254;0;0;83740;83097;35107;36825;7239;8821;6795;4529;0;186
