jahr;wkr_nr;wkr_name
2013;82;Berlin-Neukölln
2013;83;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost
2013;84;Berlin-Treptow-Köpenick
2013;85;Berlin-Marzahn-Hellersdorf
2013;86;Berlin-Lichtenberg
2013;87;Aachen I
2013;88;Aachen II
2013;89;Heinsberg
2013;90;Düren
2013;91;Rhein-Erft-Kreis I
2013;92;Euskirchen – Rhein-Erft-Kreis II
2013;93;Köln I
2013;94;Köln II
2013;95;Köln III
2013;96;Bonn
2013;97;Rhein-Sieg-Kreis I
2013;98;Rhein-Sieg-Kreis II
2013;99;Oberbergischer Kreis
2013;100;Rheinisch-Bergischer Kreis
2013;101;Leverkusen – Köln IV
2013;102;Wuppertal I
2013;103;Solingen – Remscheid – Wuppertal II
2013;104;Mettmann I
2013;105;Mettmann II
2013;106;Düsseldorf I
2013;107;Düsseldorf II
2013;108;Neuss I
2013;109;Mönchengladbach
2013;110;Krefeld I – Neuss II
2013;111;Viersen
2013;112;Kleve
2013;113;Wesel I
2013;114;Krefeld II – Wesel II
2013;115;Duisburg I
2013;116;Duisburg II
2013;117;Oberhausen – Wesel III
2013;118;Mülheim – Essen I
2013;119;Essen II
2013;120;Essen III
2013;121;Recklinghausen I
2013;122;Recklinghausen II
2013;123;Gelsenkirchen
2013;124;Steinfurt I – Borken I
2013;125;Bottrop – Recklinghausen III
2013;126;Borken II
2013;127;Coesfeld – Steinfurt II
2013;128;Steinfurt III
2013;129;Münster
2013;130;Warendorf
2013;131;Gütersloh I
2013;132;Bielefeld – Gütersloh II
2013;133;Herford – Minden-Lübbecke II
2013;134;Minden-Lübbecke I
2013;135;Lippe I
2013;136;Höxter – Lippe II
2013;137;Paderborn – Gütersloh III
2013;138;Hagen – Ennepe-Ruhr-Kreis I
2013;139;Ennepe-Ruhr-Kreis II
2013;140;Bochum I
2013;141;Herne – Bochum II
2013;142;Dortmund I
2013;143;Dortmund II
2013;144;Unna I
2013;145;Hamm – Unna II
2013;146;Soest
2013;147;Hochsauerlandkreis
2013;148;Siegen-Wittgenstein
2013;149;Olpe – Märkischer Kreis I
2013;150;Märkischer Kreis II
2013;151;Nordsachsen
2013;152;Leipzig I
2013;153;Leipzig II
2013;154;Leipzig-Land
2013;155;Meißen
2013;156;Bautzen I
2013;157;Görlitz
2013;158;Sächsische Schweiz-Osterzgebirge
2013;159;Dresden I
2013;160;Dresden II – Bautzen II
2013;161;Mittelsachsen
2013;162;Chemnitz
2013;163;Chemnitzer Umland – Erzgebirgskreis II
2013;164;Erzgebirgskreis I
2013;165;Zwickau
2013;166;Vogtlandkreis
2013;167;Waldeck
2013;168;Kassel
2013;169;Werra-Meißner – Hersfeld-Rotenburg
2013;170;Schwalm-Eder
2013;171;Marburg
2013;172;Lahn-Dill
2013;173;Gießen
2013;174;Fulda
2013;175;Main-Kinzig – Wetterau II – Schotten
2013;176;Hochtaunus
2013;177;Wetterau I
2013;178;Rheingau-Taunus – Limburg
2013;179;Wiesbaden
2013;180;Hanau
2013;181;Main-Taunus
2013;182;Frankfurt am Main I
2013;183;Frankfurt am Main II
2013;184;Groß-Gerau
2013;185;Offenbach
2013;186;Darmstadt
2013;187;Odenwald
2013;188;Bergstraße
2013;189;Eichsfeld – Nordhausen – Unstrut-Hainich-Kreis I
2013;190;Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis II
2013;191;Kyffhäuserkreis – Sömmerda – Weimarer Land I
2013;192;Gotha – Ilm-Kreis
2013;193;Erfurt – Weimar – Weimarer Land II
2013;194;Gera – Jena – Saale-Holzland-Kreis
2013;195;Greiz – Altenburger Land
2013;196;Sonneberg – Saalfeld-Rudolstadt – Saale-Orla-Kreis
2013;197;Suhl – Schmalkalden-Meiningen – Hildburghausen
2013;198;Neuwied
2013;199;Ahrweiler
2013;200;Koblenz
2013;201;Mosel/Rhein-Hunsrück
2013;202;Kreuznach
2013;203;Bitburg
2013;204;Trier
2013;205;Montabaur
2013;206;Mainz
2013;207;Worms
2013;208;Ludwigshafen/Frankenthal
2013;209;Neustadt – Speyer
2013;210;Kaiserslautern
2013;211;Pirmasens
2013;212;Südpfalz
2013;213;Altötting
2013;214;Erding – Ebersberg
2013;215;Freising
2013;216;Fürstenfeldbruck
2013;217;Ingolstadt
