"wknr";"cdsu_names";"spd_names";"fdp_names";"gru_names";"lin_names";"cdsu1share";"spd1share";"fdp1share";"gru1share";"lin1share"
72;"Dr Christoph Georg Bergner   ";"Dr Karamba Diaby  ";"Cornelia Pieper  ";"Dr Bernhard Sebastian Kranich  ";"Dr Petra Sitte  ";0.363;0.233;0.021;0.037;0.255
73;"Dieter Stier   ";"Florian Hüfner  ";"Matthias Rauch  ";"Dieter Kmietczyk  ";"Roland Claus  ";0.448;0.154;0.015;0.039;0.257
74;"Uda Carmen Freia Heller   ";"Dr Andreas Schmidt  ";"Harald Oster  ";"Norbert Jung  ";"Harald Koch  ";0.419;0.181;0.019;0.024;0.276
75;"Philipp David Lengsfeld  ";"Dr Eva Alexandra Ingrid Irmgard Anna Högl   ";"Hartmut Bade  ";"Özcan Mutlu  ";"Dr Klaus Lederer  ";0.239;0.282;0.015;0.184;0.167
76;"Lars Zimmermann  ";"Klaus Mindrup  ";"Linus Yann Friedrich Vollmar  ";"Andreas Otto  ";"Stefan Liebich   ";0.239;0.21;0.009;0.147;0.283
77;"Dr Frank Steffel   ";"Jörg Klaus Hartmut Stroedter  ";"Mieke Senftleben  ";"Holger Lütge  ";"Hakan Tas  ";0.449;0.295;0.02;0.067;0.065
78;"Kai Peter Wegner   ";"Swen Schulz  ";"Sven Paul Fresdorf  ";"Christoph Sonnenberg-Westeson  ";"Monika Manuela Carmen Merk  ";0.392;0.374;0.014;0.047;0.072
79;"Karl-Georg Ernst Gottlob Wellmann   ";"Dr Ute Elisabeth Finckh-Krämer  ";"Dr Frank Martin Lindner  ";"Nina Elisabeth Stahr  ";"Lampros Savvidis  ";0.424;0.293;0.027;0.118;0.053
80;"Klaus-Dieter Gröhler   ";"Ülker Radziwill  ";"Lars Friedrich Lindemann  ";"Lisa Paus  ";"Marlene Cieschinger  ";0.371;0.315;0.025;0.147;0.062
81;"Dr Jan-Marco Luczak   ";"Mechthild Rawert  ";"Holger Krestel  ";"Renate Elly Künast  ";"Azize Tank  ";0.351;0.262;0.015;0.203;0.073
82;"Christina Schwarzer  ";"Dr Fritz Felgentreu   ";"Dr Sebastian Kluckert  ";"Anja Kofbinger  ";"Ruben Lehnert  ";0.306;0.323;0.014;0.117;0.117
83;"Götz Müller  ";"Cansel Kiziltepe  ";"Helmut Metzner  ";"Hans-Christian Ströbele   ";"Halina Wawzyniak  ";0.137;0.18;0.01;0.399;0.172
84;"Fritz Niedergesäß  ";"Matthias Schmidt  ";"Volker Thiel  ";"Harald Moritz  ";"Dr Gregor Gysi   ";0.226;0.178;0.01;0.05;0.422
85;"Monika Grütters  ";"Iris Spranger  ";"Tom Wesener  ";"Stefan Ziller  ";"Petra Angelika Pau   ";0.257;0.171;0.007;0.031;0.389
86;"Dr Martin Pätzold  ";"Dr Erik Gührs  ";"Holger Schwabe  ";"Bartosz Jerzy Lotarewicz  ";"Dr Gesine Lötzsch   ";0.227;0.196;0.007;0.042;0.403
87;"Rudolf Henke   ";"Ulla Schmidt  ";"Birgit Haveneth  ";"Andreas Mittelstädt  ";"Andrej Konstantin Hunko  ";0.408;0.353;0.022;0.089;0.062
88;"Helmut Brandt   ";"Hans Detlef Loosz  ";"Petra Müller  ";"Bettina Herlitzius  ";"Marika Jungblut  ";0.456;0.357;0.024;0.056;0.058
89;"Wilfried Oellers   ";"Norbert Spinrath  ";"Linus Kester Stieldorf  ";"Hans Josef Dederichs  ";"Ayten Kaplan  ";0.534;0.283;0.022;0.057;0.043
90;"Thomas Rachel   ";"Dietmar Heinrich Nietan  ";"Jörg Langefeld  ";"Oliver Krischer  ";"Michael Aggelidis  ";0.503;0.342;0.019;0.049;0.051
91;"Dr Georg Kippels   ";"Dierk Timm  ";"Dr Martin Wortmann  ";"Elmar Gillet  ";"Zeki Gökhan  ";0.473;0.36;0.03;0.055;0.044
92;"Detlef Seif   ";"Helga Kühn-Mengel  ";"Gabriele Molitor  ";"Jörg Kutzer  ";"Florian Völlger  ";0.509;0.308;0.035;0.058;0.047
93;"Karsten Möring  ";"Martin Dörmann   ";"Stefanie Ruffen  ";"Berivan Aymaz  ";"Heinz Peter Karl Fischer  ";0.367;0.37;0.025;0.103;0.065
94;"Prof Dr Heribert Hirte   ";"Elfi Scho-Antwerpes  ";"Hans Hermann Stein  ";"Volker Beck  ";"Matthias W Birkwald  ";0.4;0.328;0.026;0.145;0.052
95;"Gisela Manderla  ";"Dr Rolf Mützenich   ";"Volker Görzel  ";"Katharina Dröge  ";"Michael Weisenstein  ";0.329;0.393;0.023;0.129;0.078
96;"Dr Claudia Maria Lücking-Michel  ";"Ulrich Wolfgang Kelber   ";"Dr Guido Westerwelle  ";"Katja Dörner  ";"Paul Schäfer  ";0.375;0.382;0.06;0.086;0.044
97;"Elisabeth Winkelmeier-Becker   ";"Sebastian Hartmann  ";"Jürgen Peter  ";"Robert Wendt  ";"Alexander Soranto Neu  ";0.496;0.295;0.024;0.064;0.047
98;"Dr Norbert Röttgen   ";"Bettina Bähr-Losse  ";"Thorsten Knott  ";"Dr Arnd Kuhn  ";"Andreas Danne  ";0.524;0.271;0.031;0.072;0.034
99;"Klaus-Peter Flosbach   ";"Michaela Barbara Engelmeier-Heite  ";"Jörg von Polheim  ";"Michael Braun  ";"Georg Hewald  ";0.522;0.301;0.022;0.052;0.043
100;"Wolfgang Bosbach   ";"Michael Zalfen  ";"Dr Peter Ludemann  ";"Maik Außendorf  ";"Grischa Bischeff  ";0.585;0.25;0.017;0.069;0.041
101;"Helmut Fedor Nowak  ";"Prof Dr Karl Wilhelm Lauterbach   ";"Dr Guido Fischer  ";"Rainer Blum  ";"Hamide Akbayir  ";0.393;0.413;0.023;0.072;0.058
102;"Peter Hintze  ";"Manfred Zöllmer   ";"Manfred Todtenhausen  ";"Hermann Ott  ";"Bernhard Sander  ";0.366;0.407;0.03;0.071;0.077
103;"Jürgen Hardt   ";"Sven Wiertz  ";"Gerd Brems  ";"Ursula Linda Zarniko  ";"Gunhild Böth  ";0.443;0.334;0.026;0.071;0.058
104;"Michaela Noll   ";"Peer Steinbrück  ";"Moritz Körner  ";"Dr Ophelia-Johanna Nick  ";"Rainer Köster  ";0.495;0.346;0.02;0.051;0.037
105;"Peter Beyer   ";"Kerstin Griese  ";"Jörg Weisse  ";"Michael Remmert  ";"Serdar Boztemur  ";0.456;0.371;0.024;0.049;0.043
106;"Thomas Jarzombek   ";"Philipp Tacer  ";"Gisela Piltz  ";"Mona Neubaur  ";"Helmut Born  ";0.479;0.292;0.036;0.082;0.053
107;"Sylvia Pantel   ";"Andreas Rimkus  ";"Dr Gerhard Hansen  ";"Uwe Marold Warnecke  ";"Dr Sahra Wagenknecht  ";0.407;0.35;0.029;0.075;0.091
108;"Hermann Gröhe   ";"Klaus Krützen  ";"Bijan Djir-Sarai  ";"Lars Erik Schellhas  ";"Walter Hans Rogel-Obermanns  ";0.516;0.306;0.023;0.047;0.039
109;"Dr Günter Krings   ";"Gülistan Yüksel  ";"Hans Joachim Stockschläger  ";"Dr Gerhard Brenner  ";"Bernhard Clasen  ";0.508;0.292;0.023;0.061;0.062
110;"Ansgar Heveling   ";"Benedikt Winzen  ";"Otto Fricke  ";"Karl-Heinz Renner  ";"Manfred Büddemann  ";0.491;0.309;0.037;0.058;0.041
111;"Uwe Schummer   ";"Udo Schiefner  ";"Andreas Bist  ";"René Heesen  ";"Britta Pietsch  ";0.53;0.285;0.023;0.054;0.048
112;"Ronald Pofalla   ";"Dr Barbara Hendricks  ";"Prof Dr Ralf Klapdor  ";"Bruno Jöbkes  ";"";0.509;0.331;0.031;0.058;0
