jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;erststimmegueltig;zweitstimmegueltig;cdu1;cdu2;spd1;spd2;fdp1;fdp2;csu1;csu2;gru1;gru2;pds1;pds2
1994;282;Bad Liebenwerda - Finsterwalde - Herzberg - Lübben - Luckau;13;1;152195;112023;110205;110615;42165;40331;49048;46288;3996;3665;0;0;0;3199;14996;14804
1994;283;Altmark;14;1;181917;129511;128077;128064;48439;47860;49427;46647;2817;3841;0;0;4034;4401;21634;22736
1994;284;Elbe-Havel-Gebiet und Haldensleben - Wolmirstedt;14;1;167413;118001;116425;116599;47614;46252;42330;42071;2616;3573;0;0;4448;4006;18177;18527
1994;285;Harz und Vorharzgebiet;14;1;172384;125350;124004;124105;50705;49383;44976;44110;2661;3797;0;0;5412;4314;18849;19943
1994;286;Magdeburg;14;1;165583;118160;117072;117213;38150;36648;42435;42428;1828;3029;0;0;5433;5307;26689;27421
1994;287;Magdeburg - Schönebeck - Wanzleben - Staßfurt;14;1;186435;130571;128956;129019;52310;49624;44602;44477;2609;3865;0;0;4494;4199;22872;24322
1994;288;Wittenberg - Gräfenhainichen - Jessen - Roßlau - Zerbst;14;1;173863;123665;122077;122233;52178;49954;39422;40735;4578;5267;0;0;4560;4582;19677;18949
1994;289;Dessau - Bitterfeld;14;1;163521;113487;112058;112256;44116;44232;37239;36767;6005;5200;0;0;5310;4453;17889;19086
1994;290;Bernburg - Aschersleben - Quedlinburg;14;1;166423;116212;114609;114801;45449;45517;42687;39202;3913;4640;0;0;4011;3819;18549;19311
1994;291;Halle-Altstadt;14;1;158477;110252;109166;109323;35919;36582;36111;33103;7275;7003;0;0;4986;5485;23997;24753
1994;292;Halle-Neustadt - Saalkreis - Köthen;14;1;175333;122546;120677;120870;48780;46144;35382;36717;4793;6783;0;0;4446;4045;26045;24579
1994;293;Merseburg - Querfurt - Weißenfels;14;1;158671;108793;106939;107215;45700;44728;33768;33511;5568;5316;0;0;3571;3418;17963;17982
1994;294;Zeitz - Hohenmölsen - Naumburg - Nebra;14;1;137721;96490;95100;95161;41445;40396;29461;29617;3921;4277;0;0;3594;3097;14315;15157
1994;295;Eisleben - Sangerhausen - Hettstedt;14;1;148965;105935;104240;104524;45473;44974;34585;32808;4210;4377;0;0;2621;2425;17351;17446
1994;296;Nordhausen - Worbis - Heiligenstadt;15;1;165332;128717;125128;125898;64372;62546;32275;34668;4245;4338;0;0;4428;4379;18309;16992
1994;297;Eisenach - Mühlhausen;15;1;148971;112934;109802;110399;46892;45647;38422;37640;2939;3727;0;0;4873;4894;15206;16042
1994;298;Sömmerda - Artern - Sondershausen - Langensalza;15;1;160555;117386;113671;114196;49543;49142;37906;35780;3659;4440;0;0;6083;4546;16480;17970
1994;299;Gotha - Arnstadt;15;1;152397;114318;111174;111211;47864;45897;39822;36606;3234;4247;0;0;6039;5828;14215;16057
1994;300;Erfurt;15;1;154677;112570;109913;110367;40305;36539;37577;33242;0;3626;0;0;7586;7606;24285;26885
1994;301;Weimar - Apolda - Erfurt-Land;15;1;149934;112563;109645;109827;50379;46933;33752;31591;4006;5292;0;0;6997;6660;14511;16460
1994;302;Jena - Rudolstadt - Stadtroda;15;1;175703;133588;130621;130885;47214;46726;41060;39675;8591;7567;0;0;8239;8842;23314;24484
1994;303;Gera-Stadt - Eisenberg - Gera-Land I;15;1;147854;107191;104403;104925;41599;38562;27788;28793;0;4235;0;0;5593;5170;25733;25012
1994;304;Altenburg - Schmölln - Greiz - Gera-Land II;15;1;147095;107153;103993;103984;47226;44362;33311;32652;2941;3989;0;0;4996;4525;15519;15762
1994;305;Saalfeld - Pößneck - Schleiz - Lobenstein - Zeulenroda;15;1;149695;111511;108425;109490;46959;46205;34957;32403;8518;5305;0;0;0;5035;15623;17136
1994;306;Meiningen - Bad Salzungen - Hildburghausen - Sonneberg;15;1;204796;155784;150454;151475;62411;62989;50677;46508;5557;6717;0;0;5937;6540;22777;24891
1994;307;Suhl - Schmalkalden - Ilmenau - Neuhaus;15;1;198577;150422;146034;146333;65555;60892;42232;42382;4459;5801;0;0;6440;6400;27348;27395
1994;308;Delitzsch - Eilenburg - Torgau - Wurzen;16;1;153945;105532;103662;104313;51134;47663;30058;28585;3616;4069;0;0;0;4554;18854;17234
1994;309;Leipzig I;16;1;191248;128863;122823;127605;53264;45505;0;40039;6819;4621;0;0;26114;8044;36626;26758
1994;310;Leipzig II;16;1;189140;128164;126831;127117;45807;44214;38500;38933;3850;4903;0;0;8754;8903;27232;27684
1994;311;Leipzig-Land - Borna - Geithain;16;1;188643;132909;131291;131700;65112;61143;37103;38270;3071;5117;0;0;7261;5851;18744;18872
1994;312;Döbeln - Grimma - Oschatz;16;1;149178;104712;102841;103377;57340;51081;26461;26016;3403;3959;0;0;0;4313;15637;15979
1994;313;Meißen - Riesa - Großenhain;16;1;180541;127742;125563;126278;66900;64528;26030;26934;6139;4805;0;0;6316;5934;20178;20838
1994;314;Hoyerswerda - Kamenz - Weißwasser;16;1;160410;112612;110914;111565;56710;52903;25234;26142;3823;3438;0;0;0;3656;25147;23027
1994;315;Görlitz - Zittau - Niesky;16;1;161006;115443;113399;114266;64574;61629;26078;22719;3690;3469;0;0;0;4652;19057;18395
1994;316;Bautzen - Löbau;16;1;156849;115801;113776;114530;68605;64885;21829;20686;3795;3920;0;0;0;4542;18112;17198
1994;317;Pirna - Sebnitz - Bischofswerda;16;1;165418;121296;119126;119912;71266;67917;22249;21768;0;4347;0;0;6917;4975;18694;17909
1994;318;Dresden I;16;1;176006;133196;131749;132198;62801;60204;23949;23700;3531;5571;0;0;11237;10765;26674;28592
1994;319;Dresden II;16;1;194236;140156;138452;138812;64874;62773;25074;24774;3353;5233;0;0;9850;10200;30540;32177
1994;320;Dresden-Land - Freital - Dippoldiswalde;16;1;171069;127224;124945;125993;76139;70834;24365;22358;5622;5203;0;0;0;6644;18819;17495
1994;321;Freiberg - Brand-Erbisdorf - Flöha - Marienberg;16;1;168044;126413;124436;124954;70397;66586;27676;28255;3795;4787;0;0;6003;4839;16565;16911
1994;322;Glauchau - Rochlitz - Hohenstein-Ernstthal - Hainichen;16;1;176608;129260;127155;127888;65978;62510;39448;35766;4616;5078;0;0;0;5055;17113;16761
1994;323;Chemnitz I;16;1;140359;102975;101929;102197;43968;41479;27818;28330;2595;4008;0;0;5879;5361;20390;20901
1994;324;Chemnitz II - Chemnitz-Land;16;1;154639;115610;114194;114525;52960;50453;33696;31903;3982;4764;0;0;5280;4791;18276;20011
1994;325;Annaberg - Stollberg - Zschopau;16;1;158515;119535;117549;118263;63908;61411;35216;30170;4445;4430;0;0;0;4112;13980;14601
1994;326;Aue - Schwarzenberg - Klingenthal;16;1;152323;111710;109732;110563;60662;56129;28913;28374;3571;3589;0;0;0;3658;16586;15654
1994;327;Zwickau - Werdau;16;1;199213;142008;140193;140646;69383;66729;36181;37848;5103;5534;0;0;7204;5623;21720;21581
1994;328;Reichenbach - Plauen - Auerbach - Oelsnitz;16;1;204572;146802;145144;145449;70405;68737;41492;40050;7120;7649;0;0;6609;6122;18912;19114
