jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;erststimmegueltig;zweitstimmegueltig;spd1;spd2;cdu1;cdu2;csu1;csu2;gru1;gru2;fdp1;fdp2;pds1;pds2
1998;113;Dortmund I;5;0;133665;108114;106655;106960;60417;58461;27991;24808;0;0;9136;11056;2142;5024;3467;2272
1998;114;Dortmund II;5;0;131460;108985;107478;107756;68283;66787;27762;24662;0;0;4657;5337;1721;4083;1468;1549
1998;115;Dortmund III;5;0;164873;140204;138590;138998;79782;75335;41095;36207;0;0;8121;10866;4208;9113;2043;1967
1998;116;Unna I;5;0;202058;174429;172439;172476;102301;98169;49639;43962;0;0;10787;11140;4441;10065;1751;2067
1998;117;Hamm - Unna II;5;0;239662;200044;197079;197645;109256;105669;71235;62601;0;0;6565;9150;4494;9678;2335;2303
1998;118;Soest;5;0;222469;188036;185837;185831;84473;80147;82515;71474;0;0;8067;10380;6231;14519;0;1759
1998;119;Hochsauerlandkreis;5;0;210499;179981;177418;177854;73938;70051;91164;80110;0;0;5395;7303;4139;11934;0;1260
1998;120;Siegen-Wittgenstein I;5;0;170264;143525;141225;141944;65580;65090;61406;50991;0;0;5310;7362;3660;9430;0;1611
1998;121;Olpe - Siegen-Wittgenstein II;5;0;149616;127070;125271;125704;51778;50782;62496;56183;0;0;4788;5295;3105;7665;0;964
1998;122;Märkischer Kreis I;5;0;163569;136159;134582;134661;66793;60097;55600;48741;0;0;4115;6755;2912;9116;0;1472
1998;123;Märkischer Kreis II;5;0;161639;133313;131732;131848;68457;62709;49006;41842;0;0;5269;6804;3931;10617;0;1685
1998;124;Waldeck;6;0;164438;140135;137956;138198;73062;68050;50181;43304;0;0;4954;7931;3609;9944;1134;1516
1998;125;Kassel;6;0;174916;146448;144067;144455;69715;66693;50213;42809;0;0;14286;15900;3039;8865;2016;2917
1998;126;Werra-Meißner;6;0;166526;145125;143008;143164;83300;78786;43067;38604;0;0;6692;8554;3260;8536;1422;1745
1998;127;Schwalm-Eder;6;0;158139;135650;133303;133424;69718;66380;47285;41391;0;0;4845;6787;4485;9056;1370;1544
1998;128;Hersfeld;6;0;166894;144681;140902;142242;72856;69581;51884;46812;0;0;4035;7143;3581;8306;1326;1453
1998;129;Marburg;6;0;181430;153443;151572;151649;72356;65679;60011;50302;0;0;7339;13927;2929;9506;2297;2845
1998;130;Lahn-Dill;6;0;210229;171897;169147;169380;82091;75104;64447;57725;0;0;6115;9451;4845;11604;1729;2049
1998;131;Gießen;6;0;211017;176243;173063;173793;80261;72962;67266;58254;0;0;7677;13668;7171;14553;2238;2800
1998;132;Fulda;6;0;236896;201552;197204;197958;76244;70677;97661;83495;0;0;7371;10906;5612;13985;2633;2520
