jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;zweitstimmegueltig;spd1;spd2;cdu1;cdu2;fdp1;fdp2;pds1;pds2;gru1;gru2;csu1;csu2
2009;76;Berlin-Mitte;11;1;197252;133355;131015;33943;27780;28760;24854;8869;13590;24871;25216;28108;28880;0;0
2009;77;Berlin-Pankow;11;1;232250;166099;163749;44769;29850;28374;28163;9604;13626;47070;45099;26674;32401;0;0
2009;78;Berlin-Reinickendorf;11;1;183112;132532;129866;35540;27842;50554;42771;13711;20580;10525;12060;13875;17577;0;0
2009;79;Berlin-Spandau - Charlottenburg Nord;11;1;184436;126799;123978;41051;29109;44994;37170;10612;18277;11446;13611;10853;16451;0;0
2009;80;Berlin-Steglitz - Zehlendorf;11;1;217335;172795;170607;45691;34488;66075;53085;15138;28876;9325;12270;27392;33004;0;0
2009;81;Berlin-Charlottenburg - Wilmersdorf;11;1;195857;150356;148385;47340;31719;44549;39331;16397;24313;9978;12868;26778;32724;0;0
2009;82;Berlin-Tempelhof - Schöneberg;11;1;232759;172928;169927;38244;36351;54971;45372;13292;23407;13787;16995;44506;36630;0;0
2009;83;Berlin-Neukölln;11;1;197444;132613;129256;35168;27639;39618;33469;11468;16486;15852;17986;18805;22698;0;0
2009;84;Berlin-Friedrichshain - Kreuzberg - Prenzlauer Berg Ost;11;1;222647;160861;158442;26415;32015;18394;18788;6425;9693;27796;39641;73897;43347;0;0
2009;85;Berlin-Treptow - Köpenick;11;1;200391;142838;140755;25520;27765;29124;25955;6247;11261;62880;47438;10495;15486;0;0
2009;86;Berlin-Marzahn - Hellersdorf;11;1;203416;128897;126673;20336;20906;24563;22875;6969;9741;60236;51662;7242;8847;0;0
2009;87;Berlin-Lichtenberg;11;1;204766;132766;130752;24028;22618;22566;21347;5048;8666;61874;53815;9652;11490;0;0
2009;88;Aachen;5;0;176885;130211;129017;38523;28937;50703;41146;11554;19464;9520;10911;17241;20765;0;0
2009;89;Kreis Aachen;5;0;228546;160816;158520;54205;45981;63511;53062;13275;23518;13502;14926;11056;12491;0;0
2009;90;Heinsberg;5;0;187605;131761;129838;31111;27877;65143;53888;12342;21315;9859;10638;8933;9307;0;0
2009;91;Düren;5;0;199907;144058;142079;43655;36209;65662;53597;10745;21383;10079;11924;8956;11102;0;0
2009;92;Erftkreis I;5;0;245417;180037;177778;63487;49072;69845;60798;18620;29495;11215;13214;11195;16136;0;0
2009;93;Euskirchen - Erftkreis II;5;0;245382;176069;173493;50035;40709;75290;63653;20620;32011;11679;13139;12239;15126;0;0
2009;94;Köln I;5;0;186798;127011;125833;43837;33774;42094;34195;10902;18981;10614;12092;15557;20019;0;0
2009;95;Köln II;5;0;224430;172562;171556;55471;37665;59710;48545;18455;32663;9550;12138;26614;34040;0;0
2009;96;Köln III;5;0;197023;134252;132956;47625;37019;38093;33367;11187;17225;11390;13540;22550;24797;0;0
2009;97;Bonn;5;0;219218;167574;165919;55251;37387;51674;51654;31606;31483;8381;11624;16856;26573;0;0
2009;98;Rhein-Sieg-Kreis I;5;0;231404;167034;165178;42568;37986;73959;58516;18727;31488;10523;11650;15389;17359;0;0
2009;99;Rhein-Sieg-Kreis II;5;0;211859;161746;160031;39489;33235;80363;59487;16012;34858;7430;8800;14046;16898;0;0
2009;100;Oberbergischer Kreis;5;0;211963;150609;148436;41165;35604;71759;56807;12990;25007;9599;11070;10066;12826;0;0
2009;101;Rheinisch-Bergischer Kreis;5;0;215582;166669;165128;43992;38415;82523;58572;14198;31480;8561;10832;13745;18582;0;0
2009;102;Leverkusen - Köln IV;5;0;213303;146460;144855;53517;40982;51242;43188;11332;20670;11723;13715;13386;18064;0;0
2009;103;Wuppertal I;5;0;216614;145089;143174;51180;39244;49021;40972;11852;19458;15003;16743;13308;18285;0;0
2009;104;Solingen - Remscheid - Wuppertal II;5;0;229927;162192;160398;54910;42869;62365;51248;13940;26079;13418;15057;12956;16357;0;0
2009;105;Mettmann I;5;0;204450;150715;149102;50319;36767;66300;52053;11674;27081;8412;10411;10611;15404;0;0
2009;106;Mettmann II;5;0;168402;122690;121429;43173;32740;48276;40999;11332;20574;8418;9839;8447;11350;0;0
2009;107;Düsseldorf I;5;0;218215;159600;158386;45125;35625;68749;52747;16472;31626;10266;11962;15894;19967;0;0
2009;108;Düsseldorf II;5;0;195910;134823;133495;44295;34873;50233;40906;10758;20625;12948;13244;13137;16897;0;0
2009;109;Neuss I;5;0;213950;149942;148247;43614;36812;70787;55419;12763;25944;8709;9755;9935;12133;0;0
2009;110;Mönchengladbach;5;0;194294;124190;122746;33852;30018;55784;43020;11573;22148;9233;10241;10162;10876;0;0
2009;111;Krefeld I - Neuss II;5;0;204291;149731;148258;43087;35551;62639;53252;18168;28625;8641;10016;12043;13867;0;0
2009;112;Viersen;5;0;227805;164366;162708;41691;36743;79359;61723;15755;30071;11102;11935;12633;14433;0;0
2009;113;Kleve;5;0;226029;158453;156739;46290;36810;76480;66161;14620;25249;8787;9566;10148;12355;0;0
2009;114;Wesel I;5;0;207451;151261;149708;57225;48139;57576;49564;10624;19441;11071;12676;9873;12853;0;0
2009;115;Krefeld II - Wesel II;5;0;182878;129601;128189;50636;40990;44906;38812;11098;18168;10123;11438;9462;12727;0;0
2009;116;Duisburg I;5;0;185802;128326;126692;53363;45956;40001;33638;7501;12709;13237;14678;9791;12118;0;0
2009;117;Duisburg II;5;0;159541;95554;94087;44436;38305;24779;21808;5189;7872;10519;12940;5430;6582;0;0
2009;118;Oberhausen - Wesel III;5;0;212283;148108;146305;65189;57689;40001;35712;9231;15049;14008;16311;14772;13352;0;0
2009;119;Mülheim - Essen I;5;0;194638;140658;139251;57547;49498;44653;37762;11852;18416;12143;13226;10801;13253;0;0
2009;120;Essen II;5;0;171457;107997;106689;49023;41637;28968;25067;6967;10947;11065;12431;7352;9495;0;0
2009;121;Essen III;5;0;197729;149281;148083;57055;45888;53269;44455;11035;20829;10240;12239;13969;17807;0;0
2009;122;Recklinghausen I;5;0;174767;124037;122658;52627;43571;37504;34732;9090;13462;12781;14202;7846;9984;0;0
2009;123;Recklinghausen II;5;0;194999;140361;138933;58984;51110;44021;40418;10678;15219;13805;14614;8603;10299;0;0
2009;124;Gelsenkirchen;5;0;187486;121673;120201;64623;50435;31011;27930;8344;10846;0;14497;9013;8327;0;0
2009;125;Steinfurt I - Borken I;5;0;200304;143677;142266;42736;34893;63123;59231;17533;22277;8306;9197;8774;10999;0;0
2009;126;Bottrop - Recklinghausen III;5;0;208655;148523;146927;62810;54532;48290;42153;9710;16171;13765;15624;8372;10267;0;0
2009;127;Borken II;5;0;196659;147728;146497;37324;32344;79254;67056;12521;24230;6385;7222;9706;10793;0;0
2009;128;Coesfeld - Steinfurt II;5;0;189353;146369;145269;37851;31790;73636;61901;14229;24041;7634;8504;10674;13607;0;0
2009;129;Steinfurt III;5;0;192966;143782;142411;58679;43523;61444;51067;11613;20001;9075;9250;0;13366;0;0
2009;130;Münster;5;0;210934;163921;162731;53029;38604;63819;54902;16131;23951;7805;10970;20822;27985;0;0
2009;131;Warendorf;5;0;211287;156217;154408;49996;37608;75187;62706;16333;23668;12005;9824;0;14609;0;0
2009;132;Gütersloh;5;0;232944;168245;166320;53509;42512;74149;64808;15138;24698;9909;10855;11924;16035;0;0
2009;133;Bielefeld;5;0;247085;180441;178350;61405;53583;64621;54277;10852;19883;14056;17126;24981;25057;0;0
2009;134;Herford - Minden-Lübbecke II;5;0;233781;165115;163036;62644;53661;61244;53025;15549;22018;12090;12887;11091;14121;0;0
2009;135;Minden-Lübbecke I;5;0;209155;147381;145625;57561;47299;61751;51869;9628;18097;8809;10401;7636;11482;0;0
2009;136;Lippe I;5;0;174517;127817;126295;50688;43628;46447;40545;11879;16627;8492;9059;8431;10270;0;0
2009;137;Höxter - Lippe II;5;0;216917;158321;155953;49149;45184;71813;58814;12086;23125;9100;10266;9957;11708;0;0
2009;138;Paderborn;5;0;243442;172558;170451;43120;34925;88754;73354;15282;28805;9436;10380;12001;14619;0;0
2009;139;Hagen - Ennepe-Ruhr-Kreis I;5;0;217768;150712;149062;63980;49061;49893;45225;11251;18246;12188;14448;8836;13557;0;0
2009;140;Ennepe-Ruhr-Kreis II;5;0;183435;135860;134430;54845;46848;40763;35927;13392;16778;11180;12596;11621;15248;0;0
2009;141;Bochum I;5;0;214358;153800;152221;65810;55224;47030;37763;8578;16390;14741;16442;12775;18094;0;0
2009;142;Herne - Bochum II;5;0;188777;128511;126563;64331;50922;33693;28681;8545;11591;0;16261;12393;11074;0;0
2009;143;Dortmund I;5;0;214213;149331;148073;60839;48882;40623;36237;12890;17813;14273;16272;16141;20133;0;0
2009;144;Dortmund II;5;0;208840;141167;139755;59141;49813;40622;34006;9387;15993;14819;16104;12292;15553;0;0
2009;145;Unna I;5;0;202933;148909;147357;62638;55439;47702;38646;9418;17773;12451;13842;12737;13756;0;0
2009;146;Hamm - Unna II;5;0;239907;167422;165490;72446;55249;54088;52623;14952;19998;11638;15917;8993;12798;0;0
2009;147;Soest;5;0;232781;165293;163372;47583;41522;74725;59805;15625;27675;11432;12460;11924;14081;0;0
2009;148;Hochsauerlandkreis;5;0;209440;152242;150540;40010;36741;77687;63133;13753;24530;9362;10064;7966;9460;0;0
2009;149;Siegen-Wittgenstein;5;0;218411;156878;155196;60500;44822;64217;53999;15482;23059;12009;12362;0;13385;0;0
2009;150;Olpe - Märkischer Kreis I;5;0;214196;151127;149394;42273;36470;70705;59358;15568;25021;10100;10797;8476;10379;0;0
